Name	Order	USV	Dir	shapeOrder	Fonts	base	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat
.notdef	0			0	*													
.null	1			1	*													
CR	2			2	*													
space	3	0020		3	*													
tab	4			4	*													
exclam	5	0021		5	*													
exclam.arab	6			6	L													
quotedbl	7	0022		7	*													
numbersign	8	0023		8	*													
dollar	9	0024		9	*													
percent	10	0025		10	*													
ampersand	11	0026		11	*													
quotesingle	12	0027		12	*													
parenleft	13	0028		13	*								parenright					
parenright	14	0029		14	*								parenleft					
parenleft.arab	15			15	L								parenright.arab					
parenright.arab	16			16	L								parenleft.arab					
asterisk	17	002A		17	*													
asterisk.arab	18			18	L													
plus	19	002B		19	*													
comma	20	002C		20	*													
hyphenminus	21	002D		21	*													
period	22	002E		22	*													
period.test	23			23	*													
slash	24	002F		24	*													
zero	25	0030		25	*													
one	26	0031		26	*													
two	27	0032		27	*													
three	28	0033		28	*													
four	29	0034		29	*													
five	30	0035		30	*													
six	31	0036		31	*													
seven	32	0037		32	*													
eight	33	0038		33	*													
nine	34	0039		34	*													
colon	35	003A		35	*													
colon.arab	36			36	L													
semicolon	37	003B		37	*													
less	38	003C		38	*													
equal	39	003D		39	*													
greater	40	003E		40	*													
question	41	003F		41	*													
at	42	0040		42	*													
A	43	0041		43	*													
B	44	0042		44	*													
C	45	0043		45	*													
D	46	0044		46	*													
E	47	0045		47	*													
F	48	0046		48	*													
G	49	0047		49	*													
H	50	0048		50	*													
I	51	0049		51	*													
J	52	004A		52	*													
K	53	004B		53	*													
L	54	004C		54	*													
M	55	004D		55	*													
N	56	004E		56	*													
O	57	004F		57	*													
P	58	0050		58	*													
Q	59	0051		59	*													
R	60	0052		60	*													
S	61	0053		61	*													
T	62	0054		62	*													
U	63	0055		63	*													
V	64	0056		64	*													
W	65	0057		65	*													
X	66	0058		66	*													
Y	67	0059		67	*													
Z	68	005A		68	*													
bracketleft	69	005B		69	*								bracketright					
backslash	70	005C		70	*													
bracketright	71	005D		71	*								bracketleft					
asciicircum	72	005E		72	*													
underscore	73	005F		73	*													
grave	74	0060		74	*													
a	75	0061		75	*													
b	76	0062		76	*													
c	77	0063		77	*													
d	78	0064		78	*													
e	79	0065		79	*													
f	80	0066		80	*													
g	81	0067		81	*													
h	82	0068		82	*													
i	83	0069		83	*													
j	84	006A		84	*													
k	85	006B		85	*													
l	86	006C		86	*													
m	87	006D		87	*													
n	88	006E		88	*													
o	89	006F		89	*													
p	90	0070		90	*													
q	91	0071		91	*													
r	92	0072		92	*													
s	93	0073		93	*													
t	94	0074		94	*													
u	95	0075		95	*													
v	96	0076		96	*													
w	97	0077		97	*													
